Type,Question,Answer
"Literature","Who wrote 'The Art of War'?","Sun Tzu"
"Literature","Who is the author of 'Robinson Crusoe'?","Daniel Defoe"
"Literature","Who wrote 'The Count of Monte Cristo'?","Alexandre Dumas"
"Literature","Who is the author of 'Mansfield Park'?","Jane Austen"
"Literature","Who wrote 'The Hound of the Baskervilles'?","Arthur Conan Doyle"
"Literature","Who is the author of 'The Catcher in the Rye'?","J.D. Salinger"
"Literature","Who wrote 'Birdsong'?","Sebastian Faulks"
"Literature","Who is the author of 'Romeo and Juliet'?","William Shakespeare"
"Music","Who was the 'King of Pop'?","Michael Jackson"
"Music","Who composed the 'Moonlight Sonata'?","Ludwig van Beethoven"
"Music","Who is the lead vocalist of 'The Rolling Stones'?","Mick Jagger"
"Music","Who wrote the 'Four Seasons'?","Antonio Vivaldi"
"Music","Which instrument is associated with Charlie Parker?","Saxophone"
"Music","Who was the 'Queen of Soul'?","Aretha Franklin"
"Music","Who composed 'The Nutcracker'?","Pyotr Ilyich Tchaikovsky"
"Music","Who is known as the 'Godfather of Soul'?","James Brown"
"Music","What band was John Lennon a part of?","The Beatles"
"Music","Who is the band 'Queen's' lead vocalist?","Freddie Mercury"
"Music","Which classical composer wrote the 'Fur Elise'?","Ludwig van Beethoven"
"Music","Who is the legendary guitarist famously associated with the band 'Led Zeppelin'?","Jimmy Page"
"Music","Who is the singer known as the 'Material Girl'?","Madonna"
"Music","Who wrote 'Swan Lake'?","Pyotr Ilyich Tchaikovsky"
"Music","What rock band was Roger Daltrey a lead vocalist for?","The Who"
"Music","What country is ABBA from?","Sweden"
"Music","Who composed the 'Brandenburg Concertos'?","Johann Sebastian Bach"
"Music","Name the lead vocalist of U2","Bono"
"Music","Who was the main singer of the band 'Nirvana'?","Kurt Cobain"
"Music","Who sang 'I Will Always Love You' in 'The Bodyguard'?","Whitney Houston"
"Music","Who is the singer of 'Hit Me Baby One More Time'?","Britney Spears"
"Music","Who composed the 'Water Music'?","George Frideric Handel"
"Music","Who is the lead vocalist of 'Coldplay'?","Chris Martin"
"Music","What instrument was BB King famous for playing?","Guitar"
"Music","Who is the drummer for 'The Beatles'?","Ringo Starr"
"Music","Who performed 'Love Me Tender'?","Elvis Presley"
"Music","Who composed 'The Magic Flute'?","Wolfgang Amadeus Mozart"
"Music","Who was nicknamed 'Satchmo'?","Louis Armstrong"
"Music","Who performed the album 'Thriller'?","Michael Jackson"
"Music","What instrument is Yo-Yo Ma famous for playing?","Cello"
"Music","Who is the singer of 'Like a Rolling Stone'?","Bob Dylan"
"Music","Who composed the '1812 Overture'?","Pyotr Ilyich Tchaikovsky"
"Music","Who is the guitarist for 'Queen'?","Brian May"
"Music","Who composed 'Carmen'?","Georges Bizet"
"Music","Who is 'The Boss' in the world of rock music?","Bruce Springsteen"
"Music","Who is the lead vocalist for 'The Eagles'?","Don Henley"
"Music","Who sang 'My Way'?","Frank Sinatra"
"Music","Who composed 'Rhapsody in Blue'?","George Gershwin"
"Music","Who is the lead singer of 'Fleetwood Mac'?","Stevie Nicks"
"Music","Who recorded 'I Got You Babe'?","Sonny & Cher"
"Music","Who composed 'The Marriage of Figaro'?","Wolfgang Amadeus Mozart"
"Music","Who is the singer of 'Papa Don't Preach'?","Madonna"
"Music","Name the bass player from 'The Beatles'","Paul McCartney"
"Music","Who performed 'Sweet Child O' Mine'?","Guns N' Roses"
"Music","Who composed 'Symphony No. 9'?","Ludwig van Beethoven"
"Music","Who is the lead singer of 'Radiohead'?","Thom Yorke"
"Music","Who performed 'Superstition'?","Stevie Wonder"
"Music","What is Snoop Dogg's real name?","Calvin Cordozar Broadus Jr."
"Music","Who is the female lead singer of 'No Doubt'?","Gwen Stefani"
"Music","Who performed 'Hotel California'?","The Eagles"
"Music","Who is the lead guitarist of 'Metallica'?","Kirk Hammett"
"Music","Who composed the 'Symphony No. 5'?","Ludwig van Beethoven"
"Music","Who is the lead vocalist of 'Iron Maiden'?","Bruce Dickinson"
"Music","Who composed 'Eine kleine Nachtmusik'?","Wolfgang Amadeus Mozart"
"Music","Who is the female vocalist of 'Paramore'?","Hayley Williams"
"Music","Who composed the opera 'La Traviata'?","Giuseppe Verdi"
"Music","Who is 'The King of Reggae'?","Bob Marley"
"Music","What country is the band 'AC/DC' from?","Australia"
"Music","Who composed 'Boléro'?","Maurice Ravel"
"Music","Whose nickname is 'The Piano Man'?","Billy Joel"
"Music","Who is the lead vocalist of 'Pearl Jam'?","Eddie Vedder"
"Music","Who composed the 'Symphony No. 40'?","Wolfgang Amadeus Mozart"
"Music","Who is the female vocalist of 'Evanescence'?","Amy Lee"
"Music","Who composed the 'New World Symphony'?","Antonín Dvořák"
"Music","Who is the lead vocalist of 'The Doors'?","Jim Morrison"
"Music","Who composed 'Ride of the Valkyries'?","Richard Wagner"
"Music","Who is the lead guitarist of 'Guns N' Roses'?","Slash"
"Music","Who composed the opera 'The Barber of Seville'?","Gioachino Rossini"
"Music","Who is the lead vocalist of 'Aerosmith'?","Steven Tyler"
"Music","Who wrote the 'Peer Gynt Suite'?","Edvard Grieg"
"Music","Who is the drummer of 'The Rolling Stones'?","Charlie Watts"
"Music","Who composed 'The Blue Danube'?","Johann Strauss II"
"Music","Who is the lead vocalist of 'Green Day'?","Billie Joe Armstrong"
"Music","Who composed the 'Messiah'?","George Frideric Handel"
"Music","Who is the bassist of 'Red Hot Chili Peppers'?","Flea"
"Music","Who composed 'Tosca'?","Giacomo Puccini"
"Music","Who is the lead vocalist of 'AC/DC'?","Brian Johnson"
"Music","Who composed 'The Four Seasons'?","Antonio Vivaldi"
"Music","Who is the lead singer of 'Bon Jovi'?","Jon Bon Jovi"
"Music","Who composed 'Cavalleria Rusticana'?","Pietro Mascagni"
"Music","Who is the vocalist of 'Whitney Houston’s' 'I Will Always Love You'?","Dolly Parton"
"Music","What country is 'Rammstein' from?","Germany"
"Music","Who composed 'La bohème'?","Giacomo Puccini"
"Music","Who is the drummer of 'Led Zeppelin'?","John Bonham"
"Music","Who is the lead vocalist of 'Linkin Park'?","Chester Bennington"
"Music","Who composed 'Carmina Burana'?","Carl Orff"
"Music","Who is the lead vocalist of 'Foo Fighters'?","Dave Grohl"
"Music","Who are the primary composers of 'West Side Story'?","Leonard Bernstein and Stephen Sondheim"
"Music","Who is the lead vocalist of 'Pink Floyd'?","David Gilmour"
"Music","Who composed 'Nutcracker Suite'?","Pyotr Ilyich Tchaikovsky"
"Music","Who is the lead singer of 'Black Sabbath'?","Ozzy Osbourne"
"Music","Who composed 'La Mer'?","Claude Debussy"
"Music","Who is the bassist of 'Queen'?","John Deacon"
"Music","Who wrote 'O Holy Night'?","Adolphe Adam"
"Music","Who is the female vocalist of 'Blackpink'?","Jisoo, Jennie, Rosé and Lisa"
"Music","What is Elton John's real name?","Reginald Kenneth Dwight"
"Music","Who is the lead vocalist of 'My Chemical Romance'?","Gerard Way"
"Music","Who wrote 'Ave Maria'?","Franz Schubert"
"Music","Who is the lead guitarist of 'Aerosmith'?","Joe Perry"
"Music","Who wrote 'Unchained Melody'?","Alex North and Hy Zaret"
"Music","Who is the lead vocalist of 'The Police'?","Sting"
"Music","Who composed 'Piano Sonata No. 14'?","Ludwig van Beethoven"
"Music","Who is the drummer for 'Metallica'?","Lars Ulrich"
"Music","Who composed 'Cello Suite No. 1'?","Johann Sebastian Bach"
"Music","Who is the lead singer of 'No Doubt'?","Gwen Stefani"
"Music","Who composed 'Hungarian Rhapsody No.2'?","Franz Liszt"
"Music","Who is the female vocalist for 'Fleetwood Mac'?","Stevie Nicks"
"Music","Who composed 'Tristan und Isolde'?","Richard Wagner"
"Music","Who is the pianist for 'The Doors'?","Ray Manzarek"
"Music","Who composed 'Toccata and Fugue in D minor'?","Johann Sebastian Bach"
"Music","Who is the guitarist for 'Queen'?","Brian May"
"Music","Who composed 'Piano Concerto No.23'?","Wolfgang Amadeus Mozart"
"Music","Who is the lead singer of the band 'U2'?","Bono"
"Music","Who composed 'Carmen'?","Georges Bizet"
"Music","Who is the lead singer of 'Coldplay'?","Chris Martin"
"Music","Who composed 'Flight of the Bumblebee'?","Nikolai Rimsky-Korsakov"
"Music","Who is the drummer for 'The Beatles'?","Ringo Starr"
"Music","Who composed 'The Ring Cycle'?","Richard Wagner"
"Music","Who is the vocalist for 'Iron Maiden'?","Bruce Dickinson"
"Music","Who composed 'Requiem'?","Wolfgang Amadeus Mozart"
"Music","Who is the vocalist for 'Twisted Sister'?","Dee Snider"
"Music","Who composed 'The Barber of Seville'?","Gioachino Rossini"
"Music","Who is the lead vocalist for 'Journey'?","Arnel Pineda"
"Music","Who composed 'The Planets'?","Gustav Holst"
"Music","Who is the guitarist for 'Van Halen'?","Eddie Van Halen"
"Music","Who composed 'The Magic Flute'?","Wolfgang Amadeus Mozart"
"Music","Who is the lead vocalist for 'Def Leppard'?","Joe Elliott"
"Music","Who composed 'Préludes'?","Claude Debussy"
"Music","Who is the bassist for 'The Rolling Stones'?","Bill Wyman"
"Music","Who composed 'Symphony No.2'?","Gustav Mahler"
"Music","Who is the lead vocalist of 'BLINK-182'?","Mark Hoppus"
"Music","Who composed 'Violin Concerto No.1'?","Max Bruch"
"Music","Who is the drummer for 'The Who'?","Keith Moon"
"Music","Who composed 'Madama Butterfly'?","Giacomo Puccini"
"Music","Who is the lead vocalist for 'Queen'?","Freddie Mercury"
"Music","Who composed 'Pictures at an Exhibition'?","Modest Mussorgsky"
"Music","Who is the lead vocalist for 'Soundgarden'?","Chris Cornell"
"Music","Who composed 'Symphony No.6'?","Ludwig van Beethoven"
"Music","Who are the vocalists of 'The Beatles'?","John Lennon, Paul McCartney, George Harrison, and Ringo Starr"
"Music","Who composed 'William Tell Overture'?","Gioachino Rossini"
"Music","Who is the lead vocalist for 'Radiohead'?","Thom Yorke"
"Music","Who composed 'La bohème'?","Giacomo Puccini"
"Music","Who is the bassist for 'Nirvana'?","Krist Novoselic"
"Music","Who composed 'Symphony No. 5'?","Gustav Mahler"
"Music","Who is the lead vocalist for 'Motley Crue'?","Vince Neil"
"Music","Who composed 'Turandot'?","Giacomo Puccini"
"Music","Who is the guitarist for 'The Rolling Stones'?","Keith Richards"
"Music","Who composed 'Cello Concerto in E minor'?","Edward Elgar"
"Music","Who is the lead vocalist for 'Guns N' Roses'?","Axl Rose"
"Sport","Who won the FIFA World Cup in 2018?","France"
"Sport","Who holds the most home runs record in MLB?","Barry Bonds"
"Sport","Who is the fastest man in the world?","Usain Bolt"
"Sport","Who is the NBA all-time leading scorer","Kareem Abdul-Jabbar"
"Sport","Who holds the most goals record in the NHL?","Wayne Gretzky"
"Sport","Who won the most Grand Slam titles in tennis?","Margaret Court"
"Sport","Who won the Super Bowl in 2020?","Kansas City Chiefs"
"Sport","Who holds the record for the most home runs in a single season in MLB?","Barry Bonds"
"Sport","Who was awarded the FIFA women's best player in 2019?","Megan Rapinoe"
"Sport","Who is the highest goal scorer in the history of FIFA World Cup tournaments?","Miroslav Klose"
"Sport","What is the record time for the men's 100m sprint?","9.58 seconds by Usain Bolt"
"Sport","Who won the Tour de France in 2020?","Tadej Pogačar"
"Sport","Who is the all-time leading point scorer in the NFL?","Adam Vinatieri"
"Sport","Who holds the record for the longest professional boxing undefeated streak?","Jimmy Wilde"
"Sport","Who won the Men's singles at the Wimbledon in 2019?","Novak Djokovic"
"Sport","Who has the most victories in NASCAR Cup Series?","Richard Petty"
"Sport","Who won Women's singles at US Open Tennis Championship in 2021?","Emma Raducanu"
"Sport","Who won the Olympic gold medal in the men's 100m sprint in 2021?","Lamont Marcell Jacobs"
"Sport","Who is the highest goal scorer in UEFA Champions league history?","Cristiano Ronaldo"
"Sport","Who won the Rugby Union World Cup in 2019?","South Africa"
"Sport","Who is the most successful club in English Premier League?","Manchester United"
"Sport","Who won the Women’s World Cup in football in 2019?","United States"
"Sport","What formula 1 driver has won the most World Drivers' Championships?","Lewis Hamilton"
"Sport","Who holds the world record in the men's long jump?","Mike Powell"
"Sport","Who is the most successful club in UEFA Champions League?","Real Madrid"
"Sport","What country won the first ever Football World Cup?","Uruguay"
"Sport","Who holds the world record in the women's pole vault?","Yelena Isinbayeva"
"Sport","Who won the gold medal in women's singles badminton event in 2020 Olympics?","Chen Yufei"
"Sport","Who won the Copa America in 2021?","Argentina"
"Sport","Who is the highest wicket taker in Test cricket?","Muttiah Muralitharan"
"Sport","Who won the Golden Boot at the 1998 FIFA World Cup?","Davor Šuker"
"Sport","Who is the oldest winner of a golf major?","Julius Boros"
"Sport","Who holds the world record in the men's 10000m run?","Joshua Cheptegei"
"Sport","Who won the most gold medals in a single Olympic Games?","Michael Phelps"
"Sport","Who won the gold medal in men's singles Table Tennis event in 2020 Olympics?","Ma Long"
"Sport","Who holds the world record in the men's discus throw?","Jürgen Schult"
"Sport","Who is currently the world no. 1 in men’s tennis?","Novak Djokovic"
"Sport","Who holds the world record in the women's 100m hurdles?","Kendra Harrison"
"Sport","Who is the most successful club in Italian Serie A?","Juventus"
"Sport","Who won the gold medal in men's singles Archery event in 2020 Olympics?","Mete Gazoz"
"Sport","Who is currently the world no. 1 in women’s tennis?","Ashleigh Barty"
"Sport","Who held the world heavyweight boxing title the longest?","Joe Louis"
"Sport","Who won the World Series in 2020?","Los Angeles Dodgers"
"Sport","Who holds the world record in the men's high jump?","Javier Sotomayor"
"Sport","Who is the youngest player to score in a World Cup Final?","Pele"
"Sport","What country has the most Olympic gold medals in gymnastics","United States"
"Sport","Who was the first driver to win the Monaco Grand Prix five times?","Ayrton Senna"
"Sport","Who has won the most Super Bowl MVP awards?","Tom Brady"
"Sport","Who holds the record for most goals in a NHL season?","Wayne Gretzky"
"Sport","In motorsport, what does NASCAR stand for?","National Association for Stock Car Auto Racing"
"Sport","Who is the fastest woman in the world?","Florence Griffith-Joyner"
"Sport","Who is the all-time top scorer in the NBA?","Kareem Abdul-Jabbar"
"Sport","In what year was the first modern Olympic Games held?","1896"
"Sport","Who won the ICC Cricket World Cup in 2019?","England"
"Sport","Who holds the record for the most touchdowns in an NFL career?","Jerry Rice"
"Sport","Who won the 2021 Masters Tournament in golf?","Hideki Matsuyama"
"Sport","Who has won the most World Series in baseball?","New York Yankees"
"Sport","Who is the highest run scorer in Test cricket?","Sachin Tendulkar"
"Sport","Who has the most wins in a row in professional basketball?","Los Angeles Lakers"
"Sport","Who is the most decorated Olympian of all time?","Michael Phelps"
"Sport","Who has won the most Formula 1 championships?","Lewis Hamilton"
"Sport","Which country has won the most Women's FIFA World Cup titles?","United States"
"Sport","Who holds the women's 100m world record?","Florence Griffith-Joyner"
"Sport","Who is the fastest swimmer in the world?","César Cielo"
"Sport","Who won the NBA championship in 2021?","Milwaukee Bucks"
"Sport","Who holds the record for the fastest serve in tennis?","Sam Groth"
"Sport","In what year was the first FIFA World Cup held?","1930"
"Sport","Who holds the world record in men's 200m sprint?","Usain Bolt"
"Sport","Which country has the most Rugby Union World Cup wins?","New Zealand"
"Sport","Who is the top scorer in women's international football?","Abby Wambach"
"Sport","Who holds the world record in women's 200m sprint?","Florence Griffith-Joyner"
"Sport","Who is the most successful jockey in the history of the Kentucky Derby?","Eddie Arcaro, Bill Hartack"
"Sport","Who won the Tour de France in 2019?","Egan Bernal"
"Sport","Who has the most victories in Tennis Grand Slam tournaments?","Margaret Court"
"Sport","Who won the inaugural IPL (Indian Premier League) in 2008?","Rajasthan Royals"
"Sport","Who is the all-time leading goalscorer in the Premier League?","Alan Shearer"
"Sport","Who won the UEFA Champions League in 2021?","Chelsea"
"Sport","Who scored the winning goal in the 1966 FIFA World Cup Final?","Geoff Hurst"
"Sport","Who holds the women's record for the most goals scored at a single World Cup tournament?","Marta"
"Sport","Who has won the most NBA MVP awards?","Kareem Abdul-Jabbar"
"Sport","How many players are on a rugby union team?","15"
"Sport","Who won the first ICC World Twenty20 in 2007?","India"
"Sport","Who is the highest run scorer in T20 international cricket?","Virat Kohli"
"Sport","Who holds the world record in the men's 400m hurdles?","Karsten Warholm"
"Sport","Who won the first UEFA European Championship?","Soviet Union"
"Sport","Who holds the world record in the women's 400m sprint?","Marita Koch"
"Sport","Who has won the most European Golden Shoe awards?","Lionel Messi"
"Sport","Who won the first Women's Rugby World Cup?","United States"
"Sport","Who is the winningest coach in NFL history?","Don Shula"
"Sport","Which nation won the first Rugby Union World Cup?","New Zealand"
"Sport","Who won the men's singles at the 2021 US Open in tennis?","Daniil Medvedev"
"Sport","Who holds the world record in the women's 100m breaststroke?","Lilly King"
"Sport","Who is the all-time leading goal scorer in the English Premier League?","Alan Shearer"
"Sport","Who is the record goal scorer in UEFA Champions League history?","Cristiano Ronaldo"
"Sport","Who won the 2019 NCAA Men's Basketball Tournament?","Virginia Cavaliers"
"Sport","Which country has the most Tour de France victories?","France"
"Sport","Who holds the men's 100m breaststroke world record?","Adam Peaty"
"Sport","Who won the Heisman trophy in 2018?","Kyler Murray"
"Sport","Who is the most successful female Skier in history?","Lindsey Vonn"
"Sport","Who won the Golden Boot at the FIFA World Cup 2010?","Thomas Müller"
"Sport","Which driver holds the most titles in NASCAR Cup Series history?","Richard Petty and Dale Earnhardt"
"Sport","Who won the Golden Ball at the FIFA World Cup 2018?","Luka Modrić"
"Sport","What team won the NBA Finals in 2018?","Golden State Warriors"
"Sport","Which team has the most Super Bowl victories?","Pittsburgh Steelers and the New England Patriots"
"Sport","What nation won the Women's World Cup in 2011?","Japan"
"Sport","Who was the MVP of the NFL in the 2018 season?","Patrick Mahomes"
"Sport","Who was the first African American to play Baseball in Major League?","Jackie Robinson"
"Sport","Which NHL team won the Stanley Cup in 2019?","St. Louis Blues"
"Sport","Who is the highest wicket taker in Cricket World Cup history?","Glenn McGrath"
"Sport","Who won the Premier League in 2021?","Manchester City"
"Sport","Who holds the record for the most consecutive NBA championships?","Bill Russell"
"Sport","Which team won the inaugural MLS Cup in 1996?","D.C. United"
"Sport","Who won the women's singles title at the French Open in 2021?","Barbora Krejčíková"
"Sport","Who was the first NBA player to win MVP and Rookie of the Year in the same season?","Wes Unseld and Wilt Chamberlain"
"Sport","Who holds the record for the most runs in a single Test innings in cricket?","Brian Lara"
"Sport","Which country has the most Olympic Gold Medals in Ice Hockey?","Canada"
"Sport","Who won the Golden Boot at the European Championship 2016?","Antoine Griezmann"
"Sport","Who was the first female gymnast to score a perfect 10 in the Olympics?","Nadia Comaneci"
"Sport","Who is the most successful sprinter in Olympic Games history?","Usain Bolt"
"Sport","Which team won the first Women's Super League in England in 2011?","Arsenal"
"Sport","Who won the men's 5000m race at the 2020 Summer Olympics?","Joshua Cheptegei"
"Sport","Who holds the record for the fastest century in cricket?","AB De Villiers"
"Sport","Who holds the fastest knockout record in a UFC title fight?","Conor McGregor"
"Sport","Who won the first ever World Cup in Rugby Union?","New Zealand"
"Sport","Who was the first rider to win the Tour de France five times consecutively?","Miguel Indurain"
"Sport","Who is the all-time leading point scorer in the NHL?","Wayne Gretzky"
"Sport","Who holds the record for the most goals scored in a calendar year in football (soccer)?","Lionel Messi"
"Sport","Who won the ladies singles Wimbledon title in 2021?","Ashleigh Barty"
"Sport","Who holds the record for the most rebounds in an NBA career?","Wilt Chamberlain"
"Sport","Who has won the most Balon d'Or awards in Football?","Lionel Messi"
"Sport","Who is the top goal scorer in the history of Women's World Cup in Football?","Marta"
"Sport","Who won the men's singles at the 2021 Australian Open in tennis?","Novak Djokovic"
"Sport","Which club won the UEFA Europa League in 2021?","Villarreal CF"
"Sport","Who is the all-time record goal scorer in Men's international football?","Ali Daei and Cristiano Ronaldo"
"Sport","Who holds the most victories in Grand Prix motorcycle racing?","Valentino Rossi"
"Sport","Who is the NBA's all-time assists leader?","John Stockton"
"Sport","Who won the Golden Boot in the 2019 Copa America?","Everton"
"Science","What is the chemical symbol for Hydrogen?","H"
"Science","What is the first element on the periodic table?","Hydrogen"
"Science","Who proposed the theory of relativity?","Albert Einstein"
"Science","What planet is known as the Red Planet?","Mars"
"Science","What is the powerhouse of the cell?","Mitochondria"
"Science","What type of blood type is known as the universal donor?","O Negative"
"Science","Who discovered Penicillin?","Alexander Fleming"
"Science","What force holds the planets in orbit around the sun?","Gravity"
"Science","What group of animals are known as a 'pride'?","Lions"
"Science","What is the main gas that makes up the Earth's atmosphere?","Nitrogen"
"Science","Who is called the Father of Modern Physics?","Galileo Galilei"
"Science","What is the process by which plants make food called?","Photosynthesis"
"Science","What is the smallest unit of life that can replicate independently?", "Cell"
"Science","Who proposed the law of universal gravitation?", "Isaac Newton"
"Science","What galaxy is Earth located in?","Milky Way"
"Science","What is the largest organ in the human body?","Skin"
"Science","What is the top layer of the Earth's surface called?","Crust"
"Science","What type of cells in the human body live the longest?","Neurons"
"Science","What is a scientist who studies rocks called?","Geologist"
"Science","What is the largest bone in the human body?","Femur"
"Science","What common substance changes directly from a solid to a gas at -78.5 degrees Celsius?","Dry Ice (Carbon Dioxide)"
"Science","What color light is least scattered in the atmosphere?","Red"
"Science","What species can live on both water and land?", "Amphibians"
"Science","What is the science of growing plants without soil called?","Hydroponics"
"Science","What is the body’s largest endocrine gland?", "Thyroid"
"Science","What element is the main component of natural gas?","Methane"
"Science","What is the scientific term for 'study of birds?'","Ornithology"
"Science","Who developed the laws of motion?","Isaac Newton"
"Science","What is the science of climate study called?","Climatology"
"Science","Who invented the light bulb?","Thomas Edison"
"Science","What is the phase where the moon is not visible from Earth called?","New Moon"
"Science","What is the science of mapmaking called?","Cartography"
"Science","What is the scientific name for the process of water seepage through soil?","Percolation"
"Science","Who invented the periodic table of elements?","Dmitri Mendeleev"
"Science","What instrument is used to measure wind speed?","Anemometer"
"Science","What is the science of the study of insects called?", "Entomology"
"Science","What process involves heating a liquid to create vapor and then cooling that vapor to get a liquid?","Distillation"
"Science","Who invented the telescope?","Hans Lippershey"
"Science","What is the smallest particle of a chemical element that can exist?","Atom"
"Science","What two planets in our solar system have no moons?","Mercury and Venus"
"Science","What is the scientific term for volcanic ash cloud?","Pyroclast"
"Science","Who is known as the father of genetics?","Gregor Mendel"
"Science","What does DNA stand for in biology?", "Deoxyribonucleic Acid"
"Science","What carries oxygen around the body in blood?","Red Blood Cells (Hemoglobin)"
"Science","What planet is closest to the sun?","Mercury"
"Science","What do you call the study of earthquakes?","Seismology"
"Science","What is the second law of thermodynamics?","Entropy of any isolated system always increases"
"Science","What is the rotation of the earth's axis called?","Precession"
"Science","Who proposed the Big Bang Theory?","Georges Lemaître"
"Science","What is the scientific term for the study of sound?","Acoustics"
"Science","Who developed the three laws of planetary motion?","Johannes Kepler"
"Science","Who discovered the electron?","J.J. Thomson"
"Science","Which planet has the most moons in our solar system?","Jupiter"
"Science","What is the atomic number of oxygen?","8"
"Science","Who developed the general theory of relativity?","Albert Einstein"
"Science","What is the smallest bone in the human body?","Stapes"
"Science","What is the hardest naturally occurring substance on Earth?","Diamond"
"Science","What metal has the chemical symbol Au?","Gold"
"Science","What type of molecule is H2O?","Compound"
"Science","Who discovered the law of universal gravitation?","Sir Isaac Newton"
"Science","What is the atomic number of carbon?","6"
"Science","What do we call the study of fossils?","Paleontology"
"Science","What part of the cell is responsible for breaking down waste?","Lysosome"
"Science","Who proposed the three laws of motion?","Sir Isaac Newton"
"Science","What is the most common gas in the Earth's atmosphere?","Nitrogen"
"Science","Which planet in our solar system is the largest?","Jupiter"
"Science","What type of molecule is O2?","Element"
"Science","What is the scientific term for the study of plants?","Botany"
"Science","Who is known for the principle of buoyancy?","Archimedes"
"Science","What is a substance that cannot be broken down into simpler substances?","Element"
"Science","What planet is known for having a ring system?","Saturn"
"Science","What is the center of an atom called?","Nucleus"
"Science","What chemical element has the symbol Na?","Sodium"
"Science","Who is known for the discovery of electricity?","Benjamin Franklin"
"Science","What biological kingdom contains mushrooms and yeast?","Fungi"
"Science","What part of the cell controls cell activities?","Nucleus"
"Science","Who is known for the discovery of radioactivity?","Henri Becquerel"
"Science","What organ removes waste from the blood?","Kidney"
"Science","What metal has the highest melting point?","Tungsten"
"Science","What branch of science deals with the study of the atmosphere?","Meteorology"
"Science","Who invented the concept of vaccination?","Edward Jenner"
"Science","What do we call the scientist who studies the stars and planets?","Astronomer"
"Science","Who invented the periodic table?","Dmitri Mendeleev"
"Science","What organ produces insulin in the body?","Pancreas"
"Science","What do we call the study of insects?","Entomology"
"Science","Who made significant contributions to the theory of evolution?","Charles Darwin"
"Science","What is the most abundant element in the universe?","Hydrogen"
"Science","Who discovered the X-rays?","Wilhelm Conrad Roentgen"
"Science","What do we call the scientist who studies earthquakes?","Seismologist"
"Science","Who is known as the father of modern chemistry?","Antoine Lavoisier"
"Science","What branch of physics deals with light and vision?","Optics"
"Science","Who invented the first practical telephone?","Alexander Graham Bell"
"Science","What do we call the study of the human mind and its functions?","Psychology"
"Science","Who is known for the discovery of cells?","Robert Hooke"
"Science","What do we call the scientist who studies human evolution?","Anthropologist"
"Science","Who invented the electric bulb?","Thomas Alva Edison"
"Science","What do we call the study of weather and climate?","Meteorology"
"Science","Who is known for the law of inertia?","Sir Isaac Newton"
"Science","What does 'pH' stand for?","Potential Hydrogen"
"Science","What is the scientific term for the study of the structure of organisms and their parts?","Anatomy"
"Science","Who invented the concept of field theory?","Michael Faraday"
"Science","What is the largest moon in our solar system?","Ganymede"
"Science","What is the chemical symbol for Iron?","Fe"
"Science","Who proposed the Big Bang Theory?","Georges Lemaître"
"Science","What is the strongest bone in the human body?","Femur"
"Science","What is the brightest star in the night sky?","Sirius"
"Science","What metal has the chemical symbol Ag?","Silver"
"Science","What type of molecule is CO2?","Compound"
"Science","Who discovered the proces of carbon dating?","Willard Libby"
"Science","What is the atomic number of helium?","2"
"Science","What do we call the period of first life on Earth?","Archean Eon"
"Science","What part of the cell contains genetic information?","Nucleus"
"Science","Who formulated the laws of electromagnetic induction?","Michael Faraday"
"Science","What is the second most common gas in the Earth's atmosphere?","Oxygen"
"Science","Which planet in our solar system has the second highest number of moons?","Saturn"
"Science","What type of molecule is N2?","Element"
"Science","What is the scientific term for the study of weather patterns?","Meteorology"
"Science","Who is known for the principle of independent assortment?","Gregor Mendel"
"Science","What is a substance made up of two or more different types of atoms?","Compound"
"Science","What planet is known for its great red spot?","Jupiter"
"Science","What particle is shared in a covalent bond?","Electron"
"Science","What chemical element has the symbol Cl?","Chlorine"
"Science","Who is known for his discoveries in electricity and magnetism?","James Clerk Maxwell"
"Science","What biological kingdom contains bacteria?","Monera"
"Science","What part of the cell assists in protein synthesis?","Ribosome"
"Science","Who is known for the discovery of nuclear fission?","Otto Hahn"
"Science","What organ detects taste in the human body?","Tongue"
"Science","What metal is the best conductor of electricity?","Silver"
"Science","What branch of science deals with the study of celestial objects?","Astronomy"
"Science","Who discovered the smallpox vaccine?","Edward Jenner"
"Science","What do we call the scientist who studies plants?","Botanist"
"Science","Who developed Bohr's atomic model?","Niels Bohr"
"Science","What organ generates bile in the human body?","Liver"
"Science","What do we call the study of algae and seaweed?","Phycology"
"Science","Who was the first woman to win a Nobel Prize?","Marie Curie"
"Science","What is the rarest naturally occurring element on Earth?","Astatine"
"Science","Who discovered the concept of radio waves?","James Clerk Maxwell"
"Science","What do we call the scientist who studies reptiles and amphibians?","Herpetologist"
"Science","Who invented the first working laser?","Theodore Maiman"
"Science","What organ releases enzymes to help with digestion?","Pancreas"
"Science","What element forms the most compounds?","Carbon"
"Science","Who invented the first practical microscope?","Zacharias Janssen"
"Science","What do we call the scientific study of behaviour and mind?","Psychology"
"Science","Who discovered neurons in the human body?","Santiago Ramón y Cajal"
"Science","What do we call the scientist who studies ancient human cultures?","Archaeologist"
"Science","Who discovered the concept of special relativity?","Albert Einstein"
"Science","What do we call the study of stars?","Astronomy"
"Science","Who is known as the father of computer science?","Alan Turing"
